DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 18", Dallas ,W116-105  ,Stojakovic  28,Webber  12,Christie  11,A,Sacramento Kings 2003-04 Postseason NBA Schedule
"Tue, Apr 20", Dallas ,W83-79  ,Bibby  24,Webber  13,Webber  12,A,Sacramento Kings 2003-04 Postseason NBA Schedule
"Sat, Apr 24",Dallas ,L104-79  ,Webber  22,Stojakovic  8,Christie  4,H,Sacramento Kings 2003-04 Postseason NBA Schedule
"Mon, Apr 26",Dallas ,W94-92  ,Bibby  22,Miller  16,Stojakovic  5,H,Sacramento Kings 2003-04 Postseason NBA Schedule
"Thu, Apr 29", Dallas ,W119-118  ,Bibby  36,Stojakovic  10,Bibby  8,A,Sacramento Kings 2003-04 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Sacramento Kings 2003-04 Postseason NBA Schedule
"Tue, May 4",Minnesota ,W104-98  ,Bibby  33,Miller  10,Bibby  7,H,Sacramento Kings 2003-04 Postseason NBA Schedule
"Sat, May 8",Minnesota ,L94-89  ,Stojakovic  26,Miller  11,Bibby  8,H,Sacramento Kings 2003-04 Postseason NBA Schedule
"Mon, May 10", Minnesota ,L114-113 OT ,Stojakovic  29,Christie  12,Bibby  10,A,Sacramento Kings 2003-04 Postseason NBA Schedule
"Wed, May 12", Minnesota ,W87-81  ,Webber  28,Webber  8,Bibby  12,A,Sacramento Kings 2003-04 Postseason NBA Schedule
"Fri, May 14",Minnesota ,L86-74  ,Bibby  14,Miller  10,Bibby  6,H,Sacramento Kings 2003-04 Postseason NBA Schedule
"Sun, May 16", Minnesota ,W104-87  ,Stojakovic  22,Stojakovic  8,Bibby  10,A,Sacramento Kings 2003-04 Postseason NBA Schedule
"Wed, May 19",Minnesota ,L83-80  ,Christie  21,Webber  8,Bibby  8,H,Sacramento Kings 2003-04 Postseason NBA Schedule
