DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Oct 17", Utah ,L123-117  ,0-1,Cauley-Stein  23,Bjelica  8,Fox  7,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Fri, Oct 19",New Orleans ,L149-129  ,0-2,Cauley-Stein  20,Bagley III  8,Fox  6,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Sun, Oct 21",Oklahoma City ,W131-120  ,1-2,Shumpert  26,Cauley-Stein  7,Fox  10,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Tue, Oct 23",Denver ,L126-112  ,1-3,Bagley III  20,Bagley III  9,Mason III  7,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Wed, Oct 24", Memphis ,W97-92  ,2-3,Hield  23,Bjelica  11,Fox  6,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Fri, Oct 26", Washington ,W116-112  ,3-3,Bjelica  26,Bjelica  12,Fox  9,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Mon, Oct 29",Miami ,W123-113  ,4-3,Cauley-Stein  26,Cauley-Stein  13,Fox  8,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Tue, Oct 30",Orlando ,W107-99  ,5-3,Hield  25,Hield  11,Fox  5,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Thu, Nov 1",Atlanta ,W146-115  ,6-3,Fox  31,Fox  10,Fox  15,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Sun, Nov 4",Milwaukee ,L144-109  ,6-4,Jackson  22,Shumpert  7,Fox  6,H,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Wed, Nov 7", Toronto ,L114-105  ,6-5,Cauley-Stein  24,Cauley-Stein  8,Shumpert  6,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Fri, Nov 9", Minnesota ,W121-110  ,7-5,Cauley-Stein  25,Hield  10,Fox  10,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Sat, Nov 10", Los Angeles ,L101-86  ,7-6,Fox  21,Cauley-Stein  12,Fox  2,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
"Mon, Nov 12", San Antonio ,W104-99  ,8-6,Bogdanovic  22,Cauley-Stein  13,Fox  7,A,Sacramento Kings 2018-19 Regular Season NBA Schedule
