DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sun, Apr 18",Dallas ,L100-94  ,Duncan  27,Duncan  8,Ginobili  6,H,San Antonio Spurs 2009-10 Postseason NBA Schedule
"Wed, Apr 21",Dallas ,W102-88  ,Duncan  25,Duncan  17,Parker  8,H,San Antonio Spurs 2009-10 Postseason NBA Schedule
"Fri, Apr 23", Dallas ,W94-90  ,Duncan  25,McDyess  6,Ginobili  7,A,San Antonio Spurs 2009-10 Postseason NBA Schedule
"Sun, Apr 25", Dallas ,W92-89  ,Hill  29,Duncan  11,Ginobili  7,A,San Antonio Spurs 2009-10 Postseason NBA Schedule
"Tue, Apr 27",Dallas ,L103-81  ,Parker  18,Blair  8,Parker  6,H,San Antonio Spurs 2009-10 Postseason NBA Schedule
"Thu, Apr 29", Dallas ,W97-87  ,Ginobili  26,Duncan  10,Parker  8,A,San Antonio Spurs 2009-10 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,San Antonio Spurs 2009-10 Postseason NBA Schedule
"Mon, May 3",Phoenix ,L111-102  ,Ginobili  27,Duncan  11,Ginobili  5,H,San Antonio Spurs 2009-10 Postseason NBA Schedule
"Wed, May 5",Phoenix ,L110-102  ,Duncan  29,Duncan  10,Ginobili  11,H,San Antonio Spurs 2009-10 Postseason NBA Schedule
"Fri, May 7", Phoenix ,L110-96  ,Ginobili  27,Duncan  13,Ginobili  5,A,San Antonio Spurs 2009-10 Postseason NBA Schedule
"Sun, May 9", Phoenix ,L107-101  ,Parker  22,Duncan  8,Ginobili  9,A,San Antonio Spurs 2009-10 Postseason NBA Schedule
