DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Tue, Oct 28", Dallas ,W101-100  ,1-0,Parker  23,Duncan  13,Ginobili  6,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Fri, Oct 31",Phoenix ,L94-89  ,1-1,Parker  19,Duncan  9,Parker  6,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Wed, Nov 5", Atlanta ,W94-92  ,2-1,Duncan  17,Duncan  13,Parker  7,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Thu, Nov 6",Houston ,L98-81  ,2-2,Joseph  18,Baynes  12,Leonard  5,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Sat, Nov 8", New Orleans ,L100-99  ,2-3,Parker  28,Leonard  14,Parker  4,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Mon, Nov 10",LA ,W89-85  ,3-3,Leonard  26,Duncan  11,Parker  5,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Tue, Nov 11",Golden State ,W113-100  ,4-3,Parker  28,Duncan  13,Parker  7,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Fri, Nov 14",Los Angeles ,W93-80  ,5-3,Joseph  14,Duncan  11,Parker  9,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Sat, Nov 15",Sacramento ,L94-91  ,5-4,Ginobili  21,Duncan  8,Parker  6,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Mon, Nov 17", Philadelphia ,W100-75  ,6-4,Bonner  18,Leonard  11,Parker  5,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Wed, Nov 19",Cleveland ,W92-90  ,7-4,Duncan  19,Duncan  10,Diaw  7,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Fri, Nov 21",Minnesota ,W121-92  ,8-4,Parker  28,Daye  11,Parker  5,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Sat, Nov 22", Brooklyn ,W99-87  ,9-4,Parker  22,Duncan  10,Parker  7,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Wed, Nov 26", Indiana ,W106-100  ,10-4,Ginobili  28,Leonard  13,Parker  6,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Fri, Nov 28", Sacramento ,W112-104  ,11-4,Parker  27,Duncan  8,Parker  8,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Sun, Nov 30",Boston ,W111-89  ,12-4,Green  18,Duncan  8,Parker  9,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
