DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Thu, Oct 19", Chicago ,W117-100  ,1-0,Valanciunas  23,Valanciunas  15,Lowry  9,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Sat, Oct 21", Philadelphia ,W128-94  ,2-0,DeRozan  30,Nogueira  9,Lowry  5,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Mon, Oct 23",San Antonio ,L101-97  ,2-1,DeRozan  28,Poeltl  12,DeRozan  4,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Wed, Oct 25",Golden State ,L117-112  ,2-2,DeRozan  24,Poeltl  14,Lowry  9,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Fri, Oct 27",Los Angeles ,W101-92  ,3-2,DeRozan  24,Lowry  10,Lowry  12,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Mon, Oct 30",Portland ,W99-85  ,4-2,DeRozan  25,Lowry  10,Lowry  6,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Wed, Nov 1",Denver ,L129-111  ,4-3,Powell  14,Siakam  8,Wright  6,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Fri, Nov 3",Utah ,W109-100  ,5-3,DeRozan  37,Valanciunas  8,Lowry  10,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Sun, Nov 5", Washington ,L107-96  ,5-4,DeRozan  26,Ibaka  10,Wright  4,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Tue, Nov 7", Chicago ,W119-114  ,6-4,DeRozan  24,Valanciunas  10,Lowry  6,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Thu, Nov 9", New Orleans ,W122-118  ,7-4,DeRozan  33,Valanciunas  13,DeRozan  8,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Sun, Nov 12",Boston ,L95-94  ,7-5,DeRozan  24,Nogueira  7,Lowry  7,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Tue, Nov 14",Houston ,W129-113  ,8-5,DeRozan  27,Valanciunas  7,Lowry  10,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Wed, Nov 15",New Orleans ,W125-116  ,9-5,DeRozan  25,Lowry  11,Lowry  9,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Fri, Nov 17", New York ,W107-84  ,10-5,Lowry  22,Lowry  8,Lowry  10,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Sun, Nov 19", Washington ,W100-91  ,11-5,DeRozan  33,Siakam  9,DeRozan  6,A,Toronto Raptors 2017-18 Regular Season NBA Schedule
"Wed, Nov 22",New York ,L108-100  ,11-6,Lowry  25,Lowry  10,Lowry  5,H,Toronto Raptors 2017-18 Regular Season NBA Schedule
