DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Mon, Aug 17", Brooklyn ,W134-110  ,VanVleet  30,Siakam  11,VanVleet  11,A,Toronto Raptors 2019-20 Postseason NBA Schedule
"Wed, Aug 19", Brooklyn ,W104-99  ,Powell  24,Lowry  9,VanVleet  10,A,Toronto Raptors 2019-20 Postseason NBA Schedule
"Fri, Aug 21",Brooklyn ,W117-92  ,Siakam  26,Ibaka  13,Lowry  7,H,Toronto Raptors 2019-20 Postseason NBA Schedule
"Sun, Aug 23",Brooklyn ,W150-122  ,Powell  29,Ibaka  15,Siakam  10,H,Toronto Raptors 2019-20 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Toronto Raptors 2019-20 Postseason NBA Schedule
"Sun, Aug 30", Boston ,L112-94  ,Lowry  17,Ibaka  9,Lowry  8,A,Toronto Raptors 2019-20 Postseason NBA Schedule
"Tue, Sep 1", Boston ,L102-99  ,Anunoby  20,Ibaka  9,VanVleet  7,A,Toronto Raptors 2019-20 Postseason NBA Schedule
"Thu, Sep 3",Boston ,W104-103  ,Lowry  31,Anunoby  10,Lowry  8,H,Toronto Raptors 2019-20 Postseason NBA Schedule
"Sat, Sep 5",Boston ,W100-93  ,Siakam  23,Siakam  11,Lowry  7,H,Toronto Raptors 2019-20 Postseason NBA Schedule
"Mon, Sep 7", Boston ,L111-89  ,VanVleet  18,Anunoby  7,VanVleet  5,A,Toronto Raptors 2019-20 Postseason NBA Schedule
"Wed, Sep 9",Boston ,W125-122 2OT ,Lowry  33,Anunoby  13,VanVleet  7,H,Toronto Raptors 2019-20 Postseason NBA Schedule
"Fri, Sep 11", Boston ,L92-87  ,VanVleet  20,Siakam  11,VanVleet  6,A,Toronto Raptors 2019-20 Postseason NBA Schedule
