DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Oct 30",New Orleans ,L100-75  ,0-1,Malone  20,Jackson  7,Malone  4,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Thu, Oct 31",Atlanta ,L105-98  ,0-2,Malone  20,Malone  9,Stockton  11,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Sat, Nov 2", Golden State ,W101-92  ,1-2,Malone  26,Harpring  11,Stockton  7,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Sun, Nov 3",Seattle ,L91-77  ,1-3,Kirilenko  17,Ostertag  7,Stockton  5,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Wed, Nov 6", Detroit ,L80-78  ,1-4,Kirilenko  17,Padgett  11,Stockton  6,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Fri, Nov 8", Atlanta ,W110-97  ,2-4,Malone  27,Malone  11,Malone  7,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Mon, Nov 11",Boston ,L112-95  ,2-5,Malone  20,Harpring  7,Stockton  7,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Tue, Nov 12",New York ,W108-87  ,3-5,Malone  21,Ostertag  11,Stockton  7,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Thu, Nov 14",Washington ,L105-102  ,3-6,Malone  26,Padgett  8,Stockton  11,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Fri, Nov 15",Detroit ,L86-75  ,3-7,Ostertag  11,Ostertag  11,Cheaney  5,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Sun, Nov 17",Toronto ,W82-78  ,4-7,Harpring  23,Harpring  13,Jackson  8,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Tue, Nov 19", Phoenix ,W99-76  ,5-7,Malone  23,Harpring  9,Stockton  6,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Wed, Nov 20",Denver ,W96-79  ,6-7,Malone  21,Malone  10,Stockton  11,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Sat, Nov 23", Chicago ,W110-90  ,7-7,Harpring  20,Harpring  10,Malone  7,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Tue, Nov 26",LA ,W99-94  ,8-7,Harpring  30,Malone  13,Jackson  8,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Fri, Nov 29", Minnesota ,W95-77  ,9-7,Harpring  33,Harpring  9,Stockton  9,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Sat, Nov 30",San Antonio ,L107-85  ,9-8,Stockton  13,Malone  9,Stockton  5,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Mon, Dec 2", Indiana ,W102-91  ,10-8,Stockton  22,Harpring  9,Stockton  10,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Wed, Dec 4", Los Angeles ,W93-85  ,11-8,Malone  29,Malone  15,Stockton  11,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Fri, Dec 6", Memphis ,W104-71  ,12-8,Kirilenko  15,Harpring  8,Stockton  7,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Sun, Dec 8",Los Angeles ,L110-101  ,12-9,Kirilenko  30,Kirilenko  8,Stockton  10,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Thu, Dec 12", New Orleans ,L93-88  ,12-10,Harpring  21,Malone  13,Malone  7,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Sat, Dec 14", Sacramento ,L98-96  ,12-11,Kirilenko  18,Cheaney  8,Jackson  6,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Wed, Dec 18", Orlando ,L97-90  ,12-12,Kirilenko  17,Malone  11,Stockton  8,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Fri, Dec 20",Dallas ,W93-81  ,13-12,Harpring  19,Malone  12,Stockton  7,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Sun, Dec 22",Memphis ,W103-74  ,14-12,Malone  17,Malone  11,Stockton  9,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Mon, Dec 23",Houston ,W96-91  ,15-12,Malone  31,Malone  9,Stockton  11,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Fri, Dec 27",Portland ,L103-98  ,15-13,Harpring  20,Malone  7,Stockton  8,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Sat, Dec 28", Philadelphia ,W98-69  ,16-13,Malone  20,Malone  8,Jackson  6,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Mon, Dec 30", Toronto ,W107-85  ,17-13,Malone  24,Harpring  10,Jackson  8,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Fri, Jan 3",Milwaukee ,W118-115  ,18-13,Kirilenko  21,Harpring  7,Stockton  8,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Sat, Jan 4",Minnesota ,W105-97  ,19-13,Malone  33,Malone  9,Stockton  13,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Mon, Jan 6",Chicago ,L113-98  ,19-14,Harpring  18,Kirilenko  8,Stockton  8,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Wed, Jan 8", Phoenix ,W99-93  ,20-14,Malone  24,Harpring  11,Stockton  9,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Fri, Jan 10", Miami ,W92-76  ,21-14,Harpring  31,Harpring  7,Stockton  9,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Sun, Jan 12",Phoenix ,L107-99  ,21-15,Harpring  26,Harpring  10,Stockton  10,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Wed, Jan 15",Denver ,W92-81  ,22-15,Harpring  17,Harpring  11,Stockton  9,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Thu, Jan 16", Seattle ,W92-85  ,23-15,Malone  34,Malone  9,Stockton  8,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Sat, Jan 18", Cleveland ,W95-78  ,24-15,Harpring  22,Cheaney  7,Stockton  8,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Mon, Jan 20", New Jersey ,W106-103 OT ,25-15,Stockton  25,Malone  11,Malone  5,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Wed, Jan 22", LA ,L96-89  ,25-16,Malone  23,Malone  8,Stockton  9,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Fri, Jan 24", San Antonio ,L91-90  ,25-17,Malone  18,Ostertag  11,Stockton  10,A,Utah Jazz 2002-03 Regular Season NBA Schedule
"Sat, Jan 25",Golden State ,L108-95  ,25-18,Malone  20,Malone  7,Malone  6,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Tue, Jan 28",Sacramento ,W102-92  ,26-18,Malone  29,Malone  10,Stockton  9,H,Utah Jazz 2002-03 Regular Season NBA Schedule
"Wed, Jan 29", Portland ,W95-71  ,27-18,Harpring  21,Malone  11,Malone  8,A,Utah Jazz 2002-03 Regular Season NBA Schedule
