DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 15",LA ,W97-95  ,Johnson  21,Hayward  10,Diaw  6,H,Utah Jazz 2016-17 Postseason NBA Schedule
"Tue, Apr 18",LA ,L99-91  ,Hayward  20,Favors  7,Hill  4,H,Utah Jazz 2016-17 Postseason NBA Schedule
"Fri, Apr 21", LA ,L111-106  ,Hayward  40,Hayward  9,Ingles  5,A,Utah Jazz 2016-17 Postseason NBA Schedule
"Sun, Apr 23", LA ,W105-98  ,Johnson  28,Gobert  13,Ingles  11,A,Utah Jazz 2016-17 Postseason NBA Schedule
"Tue, Apr 25",LA ,W96-92  ,Hayward  27,Gobert  11,Hill  7,H,Utah Jazz 2016-17 Postseason NBA Schedule
"Fri, Apr 28", LA ,L98-93  ,Hayward  31,Gobert  9,Hayward  4,A,Utah Jazz 2016-17 Postseason NBA Schedule
"Sun, Apr 30",LA ,W104-91  ,Hayward  26,Favors  11,Hill  5,H,Utah Jazz 2016-17 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Utah Jazz 2016-17 Postseason NBA Schedule
"Tue, May 2",Golden State ,L106-94  ,Gobert  13,Gobert  8,Hayward  4,H,Utah Jazz 2016-17 Postseason NBA Schedule
"Thu, May 4",Golden State ,L115-104  ,Hayward  33,Gobert  16,Hayward  4,H,Utah Jazz 2016-17 Postseason NBA Schedule
"Sat, May 6", Golden State ,L102-91  ,Hayward  29,Gobert  15,Hayward  6,A,Utah Jazz 2016-17 Postseason NBA Schedule
"Mon, May 8", Golden State ,L121-95  ,Hayward  25,Gobert  13,Hayward  3,A,Utah Jazz 2016-17 Postseason NBA Schedule
