DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Wed, Oct 31",Indiana ,L119-110 OT ,0-1,Arenas  34,Jamison  16,Arenas  3,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Fri, Nov 2",Boston ,L103-83  ,0-2,Arenas  21,Haywood  12,Arenas  3,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sat, Nov 3", Orlando ,L94-82  ,0-3,Butler  23,Haywood  16,Arenas  6,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Thu, Nov 8",New Jersey ,L87-85  ,0-4,Jamison  24,Jamison  9,Arenas  6,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Fri, Nov 9", Denver ,L118-92  ,0-5,Butler  21,Jamison  12,Stevenson  5,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sun, Nov 11",Atlanta ,W101-90  ,1-5,Butler  24,Jamison  15,Butler  8,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Wed, Nov 14", Indiana ,W103-90  ,2-5,Arenas  30,Haywood  11,Arenas  11,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Fri, Nov 16",Minnesota ,W105-89  ,3-5,Butler  29,Haywood  11,Arenas  8,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sat, Nov 17", Portland ,W109-90  ,4-5,Jamison  30,Jamison  11,Daniels  10,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Tue, Nov 20", Philadelphia ,W116-101  ,5-5,Blatche  26,Blatche  8,Daniels  8,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Wed, Nov 21",Charlotte ,W114-111 OT ,6-5,Butler  39,Blatche  13,Daniels  6,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Fri, Nov 23", Golden State ,L123-115  ,6-6,Jamison  30,Jamison  12,Butler  10,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sat, Nov 24",Memphis ,L124-118  ,6-7,Jamison  41,Jamison  11,Daniels  11,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Mon, Nov 26",Dallas ,W110-98  ,7-7,Butler  35,Butler  8,Daniels  6,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Wed, Nov 28",San Antonio ,L109-94  ,7-8,Haywood  19,Jamison  13,Daniels  6,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Fri, Nov 30",Philadelphia ,L85-84  ,7-9,Butler  20,Jamison  11,Stevenson  7,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sat, Dec 1", Toronto ,W101-97  ,8-9,Butler  29,Jamison  14,Butler  7,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Wed, Dec 5", Cleveland ,W105-86  ,9-9,Butler  27,Jamison  12,Daniels  9,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Fri, Dec 7", Phoenix ,L122-107  ,9-10,Blatche  19,Jamison  11,Daniels  7,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sun, Dec 9", New Jersey ,W104-89  ,10-10,Butler  28,Jamison  10,Butler  5,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Tue, Dec 11", Minnesota ,W102-88  ,11-10,Jamison  22,Haywood  14,Jamison  5,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Thu, Dec 13",Miami ,W104-91  ,12-10,Stevenson  26,Jamison  16,Butler  5,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sat, Dec 15", Sacramento ,W92-79  ,13-10,Stevenson  19,Haywood  11,Butler  8,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Wed, Dec 19", Chicago ,L95-84  ,13-11,Butler  29,Jamison  12,Butler  10,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Fri, Dec 21", Atlanta ,L97-92  ,13-12,Jamison  30,Jamison  9,Stevenson  4,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sat, Dec 22",Indiana ,L93-85  ,13-13,Jamison  29,Haywood  13,Mason Jr.  4,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Wed, Dec 26",Charlotte ,W108-104  ,14-13,Jamison  26,Jamison  14,Butler  8,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Fri, Dec 28",New Jersey ,L109-106  ,14-14,Butler  28,Jamison  13,Butler  6,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sat, Dec 29", Miami ,W96-74  ,15-14,Blatche  18,Jamison  9,Stevenson  6,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Wed, Jan 2", Detroit ,L106-93  ,15-15,Butler  22,Haywood  10,Butler  6,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Fri, Jan 4",Milwaukee ,W101-77  ,16-15,Jamison  24,Haywood  8,Butler  7,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sun, Jan 6", Seattle ,W108-86  ,17-15,Butler  33,Jamison  12,Daniels  10,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Tue, Jan 8", Houston ,L92-84  ,17-16,Jamison  14,Jamison  8,Butler  4,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Fri, Jan 11",Atlanta ,W102-98 OT ,18-16,Jamison  22,Jamison  17,Daniels  7,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sat, Jan 12", Boston ,W85-78  ,19-16,Stevenson  19,Jamison  16,Daniels  5,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Mon, Jan 14",Boston ,W88-83  ,20-16,Butler  21,Jamison  10,Daniels  9,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Tue, Jan 15",New York ,L105-93  ,20-17,Butler  24,Haywood  9,Butler  6,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Fri, Jan 18", New York ,W111-98  ,21-17,Jamison  32,Haywood  8,Daniels  7,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Mon, Jan 21", Dallas ,W102-84  ,22-17,Butler  25,Butler  9,Daniels  6,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Wed, Jan 23",Cleveland ,L121-85  ,22-18,Haywood  11,Songaila  6,Songaila  6,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Fri, Jan 25", Memphis ,W104-93  ,23-18,Jamison  24,Jamison  12,Butler  7,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sun, Jan 27",Milwaukee ,L105-102 OT ,23-19,Butler  40,Jamison  9,Daniels  8,H,Washington Wizards 2007-08 Regular Season NBA Schedule
