DATE,OPPONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Sat, Apr 18",Toronto ,W93-86 OT ,Pierce  20,Hilario  13,Wall  8,H,Washington Wizards 2014-15 Postseason NBA Schedule
"Tue, Apr 21",Toronto ,W117-106  ,Beal  28,Porter Jr.  9,Wall  17,H,Washington Wizards 2014-15 Postseason NBA Schedule
"Fri, Apr 24", Toronto ,W106-99  ,Gortat  24,Gortat  13,Wall  15,A,Washington Wizards 2014-15 Postseason NBA Schedule
"Sun, Apr 26", Toronto ,W125-94  ,Beal  23,Gortat  11,Wall  10,A,Washington Wizards 2014-15 Postseason NBA Schedule
DATE,PONENT,RESULT,Hi Points,Hi Rebounds,Hi Assists,H,Washington Wizards 2014-15 Postseason NBA Schedule
"Sun, May 3",Atlanta ,W104-98  ,Beal  28,Gortat  12,Wall  13,H,Washington Wizards 2014-15 Postseason NBA Schedule
"Tue, May 5",Atlanta ,L106-90  ,Sessions  21,Gortat  9,Beal  7,H,Washington Wizards 2014-15 Postseason NBA Schedule
"Sat, May 9", Atlanta ,W103-101  ,Porter Jr.  17,Porter Jr.  9,Beal  8,A,Washington Wizards 2014-15 Postseason NBA Schedule
"Mon, May 11", Atlanta ,L106-101  ,Beal  34,Gortat  8,Beal  7,A,Washington Wizards 2014-15 Postseason NBA Schedule
"Wed, May 13",Atlanta ,L82-81  ,Beal  23,Porter Jr.  10,Wall  7,H,Washington Wizards 2014-15 Postseason NBA Schedule
"Fri, May 15", Atlanta ,L94-91  ,Beal  29,Hilario  11,Wall  13,A,Washington Wizards 2014-15 Postseason NBA Schedule
