Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
Chicago Bulls,7,0,1.000,-,4-0,3-0,4-0,5-0,97.0,86.0,+11.0,W7,8-0,NBA Standings Pre Season 2013-14
ew Orleans Pelicans,7,1,.875,0.5,2-1,5-0,2-0,3-0,101.0,94.5,+6.5,W1,7-1,NBA Standings Pre Season 2013-14
Toronto Raptors,6,1,.857,1,4-1,2-0,4-0,4-0,102.9,95.3,+7.6,W5,6-1,NBA Standings Pre Season 2013-14
Houston Rockets,5,1,.833,1.5,3-1,2-0,2-1,2-1,109.2,100.2,+9.0,W5,6-1,NBA Standings Pre Season 2013-14
LA Clippers,5,2,.714,2,2-1,3-1,1-1,5-2,98.6,93.4,+5.2,W2,5-3,NBA Standings Pre Season 2013-14
Miami Heat,5,2,.714,2,3-0,2-2,2-1,3-2,94.7,92.3,+2.4,W2,5-3,NBA Standings Pre Season 2013-14
Phoenix Suns,5,2,.714,2,2-1,3-1,0-2,4-2,101.7,92.9,+8.8,W2,5-2,NBA Standings Pre Season 2013-14
Portland Trail Blazers,5,2,.714,2,2-2,3-0,2-0,5-2,95.3,90.6,+4.7,W5,5-2,NBA Standings Pre Season 2013-14
Brooklyn Nets,4,2,.667,2.5,2-1,2-1,2-1,4-2,98.5,90.8,+7.7,L1,5-2,NBA Standings Pre Season 2013-14
Sacramento Kings,4,2,.667,2.5,3-0,1-2,4-1,4-2,97.8,92.8,+5.0,W1,5-2,NBA Standings Pre Season 2013-14
Charlotte Bobcats,4,3,.571,3,2-2,2-1,0-2,4-2,90.4,84.0,+6.4,W1,5-3,NBA Standings Pre Season 2013-14
Dallas Mavericks,4,3,.571,3,1-2,3-1,1-2,1-2,93.6,91.7,+1.9,W1,4-4,NBA Standings Pre Season 2013-14
Minnesota Timberwolves,4,3,.571,3,2-2,2-1,0-0,0-0,104.1,97.1,+7.0,L1,4-3,NBA Standings Pre Season 2013-14
Oklahoma City Thunder,4,3,.571,3,2-2,2-1,2-0,2-2,95.4,91.6,+3.8,L2,4-3,NBA Standings Pre Season 2013-14
Memphis Grizzlies,4,3,.571,3,2-1,2-2,0-1,0-1,93.4,93.0,+0.4,L1,4-4,NBA Standings Pre Season 2013-14
Cleveland Cavaliers,4,4,.500,3.5,3-3,1-1,2-1,4-4,92.0,96.1,-4.1,L2,4-4,NBA Standings Pre Season 2013-14
Detroit Pistons,4,4,.500,3.5,3-1,1-3,0-2,2-4,93.3,92.8,+0.5,W2,4-4,NBA Standings Pre Season 2013-14
olden State Warriors,3,4,.429,4,2-1,1-3,3-2,3-4,92.3,93.0,-0.7,L2,3-4,NBA Standings Pre Season 2013-14
Los Angeles Lakers,3,4,.429,4,3-3,0-1,1-3,3-4,94.3,99.0,-4.7,W1,4-4,NBA Standings Pre Season 2013-14
an Antonio Spurs,3,4,.429,4,2-2,1-2,0-1,0-3,100.7,104.6,-3.9,L1,3-4,NBA Standings Pre Season 2013-14
ew York Knicks,2,4,.333,4.5,0-0,2-4,1-3,2-4,98.0,105.0,-7.0,L2,2-5,NBA Standings Pre Season 2013-14
Denver Nuggets,2,4,.333,4.5,1-1,1-3,0-1,2-4,92.3,99.5,-7.2,L3,2-5,NBA Standings Pre Season 2013-14
Indiana Pacers,2,5,.286,5,0-3,2-2,1-2,2-2,94.6,95.4,-0.8,W2,3-5,NBA Standings Pre Season 2013-14
Washington Wizards,2,5,.286,5,1-3,1-2,1-0,2-4,94.6,92.6,+2.0,W1,2-5,NBA Standings Pre Season 2013-14
Philadelphia 76ers,2,5,.286,5,1-3,1-2,1-1,1-3,96.9,108.3,-11.4,L4,2-5,NBA Standings Pre Season 2013-14
Orlando Magic,2,6,.250,5.5,1-4,1-2,0-0,1-1,95.9,102.3,-6.4,L2,2-6,NBA Standings Pre Season 2013-14
Boston Celtics,2,6,.250,5.5,2-2,0-4,2-5,2-5,94.3,95.0,-0.7,W1,2-6,NBA Standings Pre Season 2013-14
Milwaukee Bucks,1,5,.167,5.5,1-1,0-4,0-2,1-3,90.0,97.0,-7.0,W1,1-5,NBA Standings Pre Season 2013-14
Atlanta Hawks,1,6,.143,6,0-3,1-3,1-1,1-2,87.1,97.6,-10.5,L5,1-6,NBA Standings Pre Season 2013-14
HUtah Jazz,1,6,.143,6,1-2,0-4,0-3,1-6,89.7,96.9,-7.2,L6,1-7,NBA Standings Pre Season 2013-14
