Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
PHXPhoenix Suns,64,18,.780,-,32-9,32-9,10-6,39-13,114.8,107.4,+7.4,L1,6-4,NBA Standings Regular Season 2021-22
MEMMemphis Grizzlies,56,26,.683,8,30-11,26-15,11-5,36-16,115.6,109.9,+5.7,L1,7-3,NBA Standings Regular Season 2021-22
MIAMiami Heat,53,29,.646,11,29-12,24-17,13-3,35-17,110.0,105.6,+4.4,L1,6-4,NBA Standings Regular Season 2021-22
GSGolden State Warriors,53,29,.646,11,31-10,22-19,12-4,33-19,111.0,105.5,+5.5,W5,6-4,NBA Standings Regular Season 2021-22
DALDallas Mavericks,52,30,.634,12,29-12,23-18,14-2,36-16,108.0,104.7,+3.3,W4,8-2,NBA Standings Regular Season 2021-22
BOSBoston Celtics,51,31,.622,13,28-13,23-18,9-7,33-19,111.8,104.5,+7.3,W1,7-3,NBA Standings Regular Season 2021-22
MILMilwaukee Bucks,51,31,.622,13,27-14,24-17,12-4,33-19,115.5,112.1,+3.4,L1,6-4,NBA Standings Regular Season 2021-22
PHIPhiladelphia 76ers,51,31,.622,13,24-17,27-14,6-10,32-20,109.9,107.3,+2.6,W2,6-4,NBA Standings Regular Season 2021-22
UTAHUtah Jazz,49,33,.598,15,29-12,20-21,15-1,33-19,113.6,107.6,+6.0,W1,4-6,NBA Standings Regular Season 2021-22
TORToronto Raptors,48,34,.585,16,24-17,24-17,10-6,30-22,109.4,107.1,+2.3,L1,8-2,NBA Standings Regular Season 2021-22
DENDenver Nuggets,48,34,.585,16,23-18,25-16,6-10,29-23,112.7,110.4,+2.3,L1,6-4,NBA Standings Regular Season 2021-22
-MINMinnesota Timberwolves,46,36,.561,18,26-15,20-21,12-4,32-20,116.0,113.3,+2.7,L1,4-6,NBA Standings Regular Season 2021-22
CHIChicago Bulls,46,36,.561,18,27-14,19-22,10-6,29-23,111.6,112.0,-0.4,W1,4-6,NBA Standings Regular Season 2021-22
-BKNBrooklyn Nets,44,38,.537,20,20-21,24-17,10-6,31-21,112.9,112.1,+0.8,W4,6-4,NBA Standings Regular Season 2021-22
-CLECleveland Cavaliers,44,38,.537,20,25-16,19-22,10-6,27-25,107.8,105.7,+2.1,W1,3-7,NBA Standings Regular Season 2021-22
-ATLAtlanta Hawks,43,39,.524,21,27-14,16-25,9-7,26-26,113.9,112.4,+1.5,W1,7-3,NBA Standings Regular Season 2021-22
-CHACharlotte Hornets,43,39,.524,21,22-19,21-20,8-8,27-25,115.3,114.9,+0.4,W3,6-4,NBA Standings Regular Season 2021-22
-LACLA Clippers,42,40,.512,22,25-16,17-24,9-7,26-26,108.4,108.4,0.0,W5,6-4,NBA Standings Regular Season 2021-22
NYNew York Knicks,37,45,.451,27,17-24,20-21,5-11,22-30,106.5,106.6,-0.1,W2,7-3,NBA Standings Regular Season 2021-22
-NONew Orleans Pelicans,36,46,.439,28,19-22,17-24,6-10,25-27,109.3,110.3,-1.0,L2,6-4,NBA Standings Regular Season 2021-22
WSHWashington Wizards,35,47,.427,29,21-20,14-27,7-9,24-28,108.6,112.0,-3.4,L3,5-5,NBA Standings Regular Season 2021-22
-SASan Antonio Spurs,34,48,.415,30,16-25,18-23,6-10,24-28,113.2,113.0,+0.2,L3,6-4,NBA Standings Regular Season 2021-22
LALLos Angeles Lakers,33,49,.402,31,21-20,12-29,3-13,18-34,112.1,115.1,-3.0,W2,2-8,NBA Standings Regular Season 2021-22
SACSacramento Kings,30,52,.366,34,16-25,14-27,6-10,20-32,110.3,115.8,-5.5,W1,5-5,NBA Standings Regular Season 2021-22
PORPortland Trail Blazers,27,55,.329,37,17-24,10-31,1-15,11-41,106.2,115.1,-8.9,L11,0-10,NBA Standings Regular Season 2021-22
INDIndiana Pacers,25,57,.305,39,16-25,9-32,2-14,11-41,111.5,114.9,-3.4,L10,0-10,NBA Standings Regular Season 2021-22
OKCOklahoma City Thunder,24,58,.293,40,12-29,12-29,6-10,17-35,103.7,111.8,-8.1,L3,4-6,NBA Standings Regular Season 2021-22
DETDetroit Pistons,23,59,.280,41,13-28,10-31,6-10,18-34,104.8,112.5,-7.7,L3,4-6,NBA Standings Regular Season 2021-22
ORLOrlando Magic,22,60,.268,42,12-29,10-31,3-13,12-40,104.2,112.2,-8.0,W1,3-7,NBA Standings Regular Season 2021-22
HOUHouston Rockets,20,62,.244,44,11-30,9-32,3-13,11-41,109.7,118.2,-8.5,L7,3-7,NBA Standings Regular Season 2021-22
