Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Dallas Mavericks,5,99.6,38.2,96.4,39.6,5.0,17.4,28.7,18.2,23.6,77.1,20.4,31.8,52.2,20.6,9.2,6.6,13.6,21.6,NBA Team Postseason Stats 2003-04
2,Sacramento Kings,12,95.2,35.3,82.9,42.5,5.8,16.8,34.8,18.8,24.8,75.8,10.9,33.1,44.0,22.8,9.4,3.7,14.3,21.1,NBA Team Postseason Stats 2003-04
3,Minnesota Timberwolves,18,91.9,33.9,77.1,44.1,5.9,15.2,38.7,18.2,23.3,78.0,9.7,32.3,42.0,19.3,6.6,5.2,15.0,24.3,NBA Team Postseason Stats 2003-04
4,Denver Nuggets,5,90.6,37.2,87.2,42.7,4.4,13.0,33.8,11.8,16.8,70.2,14.4,28.8,43.2,20.4,7.8,2.8,14.2,24.2,NBA Team Postseason Stats 2003-04
5,San Antonio Spurs,10,89.3,33.5,76.2,44.0,6.9,18.9,36.5,15.4,23.9,64.4,12.6,29.7,42.3,19.4,7.7,4.2,15.5,22.8,NBA Team Postseason Stats 2003-04
6,New Jersey Nets,11,88.2,30.8,72.8,42.3,4.5,16.4,27.2,22.1,30.3,73.0,10.6,32.1,42.7,20.5,8.6,5.4,18.5,26.0,NBA Team Postseason Stats 2003-04
7,Los Angeles Lakers,22,88.1,33.0,74.5,44.4,5.0,15.5,32.1,17.1,27.9,61.2,10.2,30.0,40.2,22.6,7.3,4.2,12.6,22.9,NBA Team Postseason Stats 2003-04
8,Detroit Pistons,23,87.1,31.4,76.3,41.2,4.2,13.9,30.4,20.1,27.3,73.4,12.9,32.0,44.8,19.4,8.0,7.1,14.9,22.5,NBA Team Postseason Stats 2003-04
9,Milwaukee Bucks,5,85.6,32.4,77.8,41.6,4.8,14.4,33.3,16.0,21.6,74.1,11.2,28.0,39.2,20.6,8.2,4.2,16.4,22.4,NBA Team Postseason Stats 2003-04
10,Indiana Pacers,16,85.5,30.7,75.1,40.8,5.9,17.8,33.3,18.2,24.8,73.3,10.8,31.3,42.1,17.9,8.7,6.3,13.6,23.5,NBA Team Postseason Stats 2003-04
11,Houston Rockets,5,84.6,31.8,74.4,42.7,4.6,15.2,30.3,16.4,22.8,71.9,9.6,34.8,44.4,17.2,5.2,3.6,16.8,22.8,NBA Team Postseason Stats 2003-04
12,Boston Celtics,4,84.5,28.8,70.5,40.8,5.3,15.8,33.3,21.8,27.0,80.6,9.3,31.8,41.0,17.5,6.5,5.0,19.8,20.3,NBA Team Postseason Stats 2003-04
13,Miami Heat,13,84.1,30.5,74.8,40.8,3.7,13.4,27.6,19.3,25.6,75.4,11.4,30.5,41.8,16.3,7.5,4.1,14.2,24.4,NBA Team Postseason Stats 2003-04
14,New York Knicks,4,84.0,30.8,80.0,38.4,4.3,14.5,29.3,18.3,25.3,72.3,12.3,26.3,38.5,19.5,9.3,4.0,16.3,28.0,NBA Team Postseason Stats 2003-04
15,Memphis Grizzlies,4,83.5,30.8,72.5,42.4,3.8,12.8,29.4,18.3,23.5,77.7,9.5,25.0,34.5,14.5,9.5,5.0,14.3,25.0,NBA Team Postseason Stats 2003-04
16,New Orleans Hornets,7,80.6,29.3,76.3,38.4,5.9,18.6,31.5,16.1,20.7,77.9,12.3,30.0,42.3,19.3,6.1,4.6,17.1,20.9,NBA Team Postseason Stats 2003-04
