Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Phoenix Suns,11,+5.0,+1.7,-1.0,+2.6,+0.1,-1.3,+3.4,+1.3,+0.2,+4.7,-3.1,+1.0,-2.0,+6.7,-0.6,0.0,-1.0,-2.9,NBA Team Postseason Stats 2006-07
2,San Antonio Spurs,20,+3.9,+0.7,-1.7,+2.0,+2.5,+5.3,+3.6,-0.2,+0.6,-2.8,-1.0,+0.9,-0.1,+1.3,+0.6,+0.9,-0.4,-0.2,NBA Team Postseason Stats 2006-07
3,Detroit Pistons,16,+2.9,+0.9,+2.2,0.0,+1.1,+3.0,+0.8,-0.1,-3.6,+9.0,0.0,-0.5,-0.5,+2.2,+0.3,+1.0,-1.2,+1.5,NBA Team Postseason Stats 2006-07
4,Cleveland Cavaliers,20,+2.1,+0.4,+1.7,-0.4,-0.4,-1.0,-0.5,+1.8,+2.1,+1.0,+2.3,+1.7,+4.0,-1.6,+1.1,-0.3,-0.6,-0.2,NBA Team Postseason Stats 2006-07
5,New Jersey Nets,12,+1.8,+0.8,-1.3,+1.9,+2.0,+4.5,+2.1,-1.8,-2.2,-0.6,-1.0,+0.5,-0.5,+6.2,-1.4,-1.0,+2.0,-0.2,NBA Team Postseason Stats 2006-07
6,Golden State Warriors,11,+1.7,-0.1,0.0,-0.2,+4.5,+11.8,+1.6,-2.4,-1.6,-3.8,-3.7,-6.6,-10.3,-3.7,+2.8,+0.5,-4.4,+1.5,NBA Team Postseason Stats 2006-07
7,Chicago Bulls,10,+1.1,-1.2,-2.1,-0.5,-0.2,-2.1,+2.5,+4.0,+4.5,+2.8,+0.4,+1.1,+1.6,+0.9,+0.2,-0.2,+1.1,-3.3,NBA Team Postseason Stats 2006-07
8,Utah Jazz,17,+0.8,+3.2,+4.2,+1.7,-4.3,-11.8,-1.2,-1.3,-1.7,-0.2,+3.2,+2.8,+6.0,+3.5,-1.3,-0.7,+1.0,+1.4,NBA Team Postseason Stats 2006-07
9,Houston Rockets,7,-3.1,-5.8,-7.7,-3.3,+3.4,+9.8,+2.1,+5.1,+5.4,+4.1,-0.7,+1.0,+0.2,-4.7,0.0,-0.7,+2.8,-3.5,NBA Team Postseason Stats 2006-07
10,Toronto Raptors,6,-5.3,-2.1,-1.8,-1.8,-3.8,-9.1,-1.9,+2.8,+3.0,+1.8,-2.1,-0.6,-2.8,-8.5,+0.8,+0.5,-1.1,0.0,NBA Team Postseason Stats 2006-07
11,Denver Nuggets,5,-6.0,-3.1,-3.5,-2.0,-3.6,-6.6,-7.1,+3.9,+4.8,+1.5,+1.0,+2.1,+3.1,-5.3,-1.4,-1.0,+3.0,+0.1,NBA Team Postseason Stats 2006-07
12,Dallas Mavericks,6,-6.6,-2.5,+1.8,-4.1,-3.3,-6.0,-5.1,+1.6,+0.6,+3.9,+2.1,+0.5,+2.6,+0.5,+0.1,+0.6,+1.1,-1.0,NBA Team Postseason Stats 2006-07
13,Washington Wizards,4,-8.7,-1.2,+6.2,-4.9,+2.0,+6.7,-0.4,-8.2,-8.5,-5.6,-2.2,-10.2,-12.5,-1.0,+0.2,-0.5,-4.5,+2.2,NBA Team Postseason Stats 2006-07
14,Orlando Magic,4,-9.0,+1.5,-1.2,+2.8,-4.2,-8.0,-9.7,-7.7,-2.7,-19.7,-0.5,+0.5,0.0,-2.7,-3.0,-0.7,+4.2,+1.2,NBA Team Postseason Stats 2006-07
15,Los Angeles Lakers,5,-10.4,-2.6,+1.4,-3.8,-1.7,-3.5,-2.7,-3.4,-3.3,-3.7,+4.3,-1.8,+2.6,-12.6,-1.8,0.0,+2.7,+4.3,NBA Team Postseason Stats 2006-07
16,Miami Heat,4,-11.0,-3.0,-4.0,-1.5,-1.5,-0.5,-7.6,-3.5,+2.2,-19.5,-1.7,-4.5,-6.2,-5.5,-1.5,+1.0,+0.2,+1.7,NBA Team Postseason Stats 2006-07
