Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Cleveland Cavaliers,82,+8.9,+3.0,+0.1,+3.7,+2.1,+2.7,+5.9,+0.7,+1.4,-1.2,0.0,+3.2,+3.3,+1.1,+0.9,+1.1,-1.1,0.0,NBA Team Regular Season Stats 2008-09
2,Los Angeles Lakers,82,+7.6,+3.1,+1.9,+2.6,-0.4,-2.2,+1.6,+1.8,+1.9,+1.7,+0.6,+1.7,+2.4,+0.6,+1.0,+0.3,-2.0,-1.4,NBA Team Regular Season Stats 2008-09
3,Boston Celtics,82,+7.5,+3.8,-1.0,+5.5,+0.3,-1.1,+4.7,-0.4,-0.4,-0.5,+0.4,+4.1,+4.5,+3.7,+0.4,0.0,+1.0,+0.9,NBA Team Regular Season Stats 2008-09
4,Orlando Magic,82,+6.6,0.0,-4.5,+2.3,+4.5,+10.3,+3.8,+2.3,+4.5,-4.0,-0.5,+1.6,+1.1,+1.2,0.0,+1.5,+0.8,-2.1,NBA Team Regular Season Stats 2008-09
5,Portland Trail Blazers,82,+5.3,+1.4,+2.3,+0.4,+1.3,+3.0,+0.8,+1.1,+2.5,-3.8,+3.3,+2.0,+5.4,+0.9,+0.4,+1.0,-0.3,-0.7,NBA Team Regular Season Stats 2008-09
6,Houston Rockets,82,+4.0,-0.3,-2.5,+0.9,+1.9,+4.3,+1.7,+2.8,+2.1,+5.5,-0.1,+3.2,+3.0,+0.5,-0.4,-0.9,+1.7,-1.6,NBA Team Regular Season Stats 2008-09
7,San Antonio Spurs,82,+3.7,+0.8,-0.4,+1.2,+2.1,+5.3,+0.6,0.0,0.0,-0.7,-0.2,+0.8,+0.6,+3.1,-0.6,-0.2,0.0,+0.4,NBA Team Regular Season Stats 2008-09
8,Denver Nuggets,82,+3.4,+1.1,-2.7,+2.9,-0.6,-2.0,+0.5,+1.8,+3.1,-2.1,-1.0,+1.4,+0.3,+0.7,+0.7,+0.5,0.0,-0.8,NBA Team Regular Season Stats 2008-09
9,Utah Jazz,82,+2.6,+1.5,+1.3,+1.0,-1.7,-4.3,-1.1,+1.3,+1.4,+0.8,+0.3,+0.3,+0.7,+4.6,+0.7,-0.6,-1.3,-1.7,NBA Team Regular Season Stats 2008-09
10,Dallas Mavericks,82,+1.9,+0.6,+0.2,+0.7,+0.6,+3.0,-2.5,0.0,-0.6,+2.0,+0.3,+1.0,+1.3,+2.0,0.0,+1.1,-0.2,-0.5,NBA Team Regular Season Stats 2008-09
11,Phoenix Suns,82,+1.9,+1.1,-4.0,+3.7,-0.8,-2.3,0.0,+0.5,+1.7,-3.1,-1.1,+2.0,+0.9,+2.0,-1.4,+0.6,+1.5,-2.2,NBA Team Regular Season Stats 2008-09
12,Atlanta Hawks,82,+1.5,-0.5,-1.9,+0.3,+0.8,+1.6,+1.2,+1.8,+3.4,-3.2,-1.0,-0.8,-1.8,-0.5,+0.8,+0.2,-0.8,-0.8,NBA Team Regular Season Stats 2008-09
13,New Orleans Hornets,82,+1.5,+0.7,+0.4,+0.6,-0.2,-1.2,+1.0,+0.3,-0.5,+3.3,-0.2,0.0,-0.3,-0.4,+1.4,+0.5,-0.7,-0.1,NBA Team Regular Season Stats 2008-09
14,Miami Heat,82,+0.2,+1.3,+2.8,+0.1,-0.1,+1.3,-3.2,-2.4,-2.6,-1.7,-0.8,-1.5,-2.3,+0.3,+1.5,+1.4,-2.6,+0.7,NBA Team Regular Season Stats 2008-09
15,Philadelphia 76ers,82,0.0,0.0,+0.5,-0.3,-2.9,-6.3,-4.8,+3.0,+5.1,-3.6,+1.2,+0.6,+1.8,-1.8,+1.0,+0.1,-1.4,-1.6,NBA Team Regular Season Stats 2008-09
16,Chicago Bulls,82,-0.2,-0.1,-0.2,0.0,0.0,-1.3,+3.4,0.0,-0.3,+0.9,-0.5,-0.1,-0.6,+0.1,0.0,0.0,+0.1,0.0,NBA Team Regular Season Stats 2008-09
17,Detroit Pistons,82,-0.4,+1.2,+2.1,+0.3,-0.7,-1.8,-0.4,-2.3,-2.3,-2.4,+1.0,0.0,+1.0,+0.4,+0.3,+0.4,+0.1,+1.2,NBA Team Regular Season Stats 2008-09
18,Milwaukee Bucks,82,-1.0,+1.8,+6.3,-1.2,-0.6,-0.9,-1.5,-4.2,-5.0,-1.0,+1.7,-1.9,-0.2,+0.8,0.0,-0.8,-2.3,+1.7,NBA Team Regular Season Stats 2008-09
19,Indiana Pacers,82,-1.1,+0.9,+2.6,-0.2,+1.0,+2.5,+0.3,-4.0,-6.5,+4.3,+0.1,-0.5,-0.3,+0.5,-0.7,-0.1,+0.4,+2.4,NBA Team Regular Season Stats 2008-09
20,Charlotte Bobcats,82,-1.2,-0.2,-0.6,0.0,-0.8,-2.2,0.0,0.0,+0.4,-1.5,+0.1,+0.6,+0.7,+1.6,-0.5,-1.1,+0.8,+0.4,NBA Team Regular Season Stats 2008-09
21,New Jersey Nets,82,-2.4,-0.3,+1.8,-1.4,+0.6,+2.4,-1.4,-2.3,-3.6,+1.6,-0.2,-1.3,-1.5,-1.9,0.0,0.0,-0.3,+1.9,NBA Team Regular Season Stats 2008-09
22,New York Knicks,82,-2.6,-2.6,+0.6,-3.4,+3.0,+8.0,+0.8,-0.2,-1.1,+2.6,-0.5,-3.4,-3.9,-0.4,-0.5,-2.8,-0.1,+0.9,NBA Team Regular Season Stats 2008-09
23,Toronto Raptors,82,-2.8,-1.4,-1.8,-0.6,-1.8,-5.2,+0.5,+1.8,+1.2,+4.0,-1.1,-0.3,-1.4,-0.6,0.0,0.0,0.0,-0.6,NBA Team Regular Season Stats 2008-09
