Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,New York Knicks,12,85.9,29.7,70.7,42.0,7.1,22.0,32.2,19.5,25.4,76.7,8.8,33.3,42.2,16.8,5.1,4.2,16.8,18.9,NBA Team Postseason Stats 2012-13
2,Boston Celtics,6,87.7,33.0,80.2,41.2,8.0,24.0,33.3,13.7,18.2,75.2,10.5,31.8,42.3,15.0,10.3,4.3,12.8,21.3,NBA Team Postseason Stats 2012-13
3,Miami Heat,23,90.7,33.0,75.7,43.6,6.7,19.1,35.3,18.0,24.5,73.2,11.5,28.8,40.3,17.7,6.9,3.4,16.0,21.0,NBA Team Postseason Stats 2012-13
4,Indiana Pacers,19,91.6,33.6,78.5,42.8,7.1,19.8,35.5,17.4,23.1,75.4,9.9,26.6,36.5,17.0,7.4,4.7,11.4,24.8,NBA Team Postseason Stats 2012-13
5,San Antonio Spurs,21,93.3,36.3,83.9,43.2,7.2,19.4,37.1,13.6,19.6,69.3,11.7,32.0,43.6,19.8,7.3,4.7,13.6,21.1,NBA Team Postseason Stats 2012-13
6,Memphis Grizzlies,15,94.1,35.1,78.1,45.0,6.7,20.1,33.4,17.1,21.5,79.5,8.7,31.5,40.2,19.1,5.1,6.5,14.0,25.3,NBA Team Postseason Stats 2012-13
7,Atlanta Hawks,6,94.5,32.8,79.2,41.5,6.3,21.0,30.2,22.5,28.7,78.5,12.8,36.5,49.3,19.7,6.8,4.8,15.5,23.8,NBA Team Postseason Stats 2012-13
8,Oklahoma City Thunder,11,97.1,33.9,81.6,41.5,8.5,25.5,33.5,20.7,28.0,74.0,10.5,32.8,43.3,17.7,6.7,4.9,13.4,22.1,NBA Team Postseason Stats 2012-13
9,Brooklyn Nets,7,97.4,39.3,83.7,46.9,4.6,15.0,30.5,14.3,20.6,69.4,10.7,31.0,41.7,21.4,6.0,5.7,13.1,21.7,NBA Team Postseason Stats 2012-13
10,Chicago Bulls,12,98.6,36.0,78.5,45.9,6.6,19.8,33.3,20.0,26.3,75.9,9.9,29.7,39.6,21.1,7.0,5.8,12.2,21.2,NBA Team Postseason Stats 2012-13
11,Milwaukee Bucks,4,100.0,37.0,74.5,49.7,7.0,21.8,32.2,19.0,25.8,73.8,10.8,32.8,43.5,23.5,9.3,4.3,17.0,20.3,NBA Team Postseason Stats 2012-13
12,LA Clippers,6,100.2,34.8,76.2,45.7,4.3,13.3,32.5,26.2,34.3,76.2,10.3,27.5,37.8,21.2,6.5,4.2,10.3,23.8,NBA Team Postseason Stats 2012-13
13,Golden State Warriors,12,102.5,37.5,85.4,43.9,7.5,22.4,33.5,20.0,27.3,73.2,11.5,30.3,41.8,21.8,8.6,3.5,13.2,21.9,NBA Team Postseason Stats 2012-13
14,Los Angeles Lakers,4,104.0,41.3,84.0,49.1,6.0,17.0,35.3,15.5,19.3,80.5,8.8,33.5,42.3,23.8,10.3,5.0,10.0,18.0,NBA Team Postseason Stats 2012-13
15,Houston Rockets,6,105.8,37.2,82.7,45.0,10.2,28.3,35.9,21.3,25.2,84.8,9.7,32.8,42.5,20.2,7.8,7.3,12.8,24.7,NBA Team Postseason Stats 2012-13
16,Denver Nuggets,6,107.2,40.2,81.3,49.4,9.8,24.3,40.4,17.0,21.7,78.5,10.0,33.2,43.2,23.8,6.5,6.7,18.7,23.5,NBA Team Postseason Stats 2012-13
