Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Memphis Grizzlies,82,89.3,33.5,77.0,43.5,6.1,18.2,33.8,16.1,21.5,74.8,10.3,28.8,39.1,19.5,7.3,5.5,14.7,20.0,NBA Team Regular Season Stats 2012-13
2,Indiana Pacers,81,90.7,34.5,82.2,42.0,5.4,16.6,32.7,16.2,21.3,76.0,11.2,29.6,40.9,19.2,7.5,5.7,13.0,21.9,NBA Team Regular Season Stats 2012-13
3,Chicago Bulls,82,92.9,35.4,80.1,44.3,5.5,16.0,34.6,16.5,22.3,73.9,11.0,30.1,41.1,18.8,7.3,5.8,13.1,19.6,NBA Team Regular Season Stats 2012-13
4,LA Clippers,82,94.6,34.6,78.0,44.3,7.6,20.5,37.3,17.9,23.9,74.9,10.9,28.2,39.1,22.1,7.4,4.1,15.4,20.9,NBA Team Regular Season Stats 2012-13
5,Miami Heat,82,95.0,35.6,80.9,44.0,7.6,21.7,35.0,16.2,21.2,76.6,11.2,28.9,40.1,20.2,7.9,3.2,14.7,20.4,NBA Team Regular Season Stats 2012-13
6,Brooklyn Nets,82,95.1,37.4,80.7,46.4,6.3,17.3,36.6,14.0,19.2,73.1,10.7,28.5,39.2,21.4,7.5,4.8,13.0,21.4,NBA Team Regular Season Stats 2012-13
7,New York Knicks,82,95.7,35.6,77.6,45.8,7.8,21.8,35.7,16.8,22.2,75.7,10.0,31.6,41.6,19.3,6.4,4.0,14.5,19.2,NBA Team Regular Season Stats 2012-13
8,Washington Wizards,82,95.8,35.9,81.7,44.0,7.1,20.5,34.9,16.8,22.8,73.8,11.0,33.2,44.2,21.5,7.8,4.4,13.9,19.1,NBA Team Regular Season Stats 2012-13
9,Philadelphia 76ers,82,96.5,36.8,81.0,45.4,6.7,19.2,34.9,16.2,21.4,76.0,11.0,33.0,44.0,22.8,7.2,4.8,13.8,16.2,NBA Team Regular Season Stats 2012-13
10,Oklahoma City Thunder,82,96.5,36.2,85.0,42.5,7.4,21.5,34.6,16.7,21.6,77.4,12.0,28.7,40.7,20.5,8.2,3.9,14.2,20.7,NBA Team Regular Season Stats 2012-13
11,San Antonio Spurs,82,96.6,37.5,84.9,44.2,6.3,17.9,35.3,15.2,20.0,76.0,11.1,31.4,42.5,21.4,8.2,4.9,14.3,19.1,NBA Team Regular Season Stats 2012-13
